Project,Bug Id,Stack Trace (ST) size - N,Number of buggy methods,Position of the first buggy method into the ST,Precision ST Top N,Recall ST Top N,F1 ST Top N,Position of the first buggy method into the Ochiai1,Precision Ochiai1 Top N,Recall Ochiai1 Top N,F1 Ochiai1 Top N,Position of the first buggy method into the Ochiai2,Precision Ochiai2 Top N,Recall Ochiai2 Top N,F1 Ochiai2 Top N
Cli,14,8,1,5,0.125,1.0,0.2222222222222222,8,0.125,1.0,0.2222222222222222,12,0.0,0.0,0.0
Cli,5,3,1,1,0.3333333333333333,1.0,0.5,34,0.0,0.0,0.0,3,0.3333333333333333,1.0,0.5
Closure,125,40,1,9,0.025,0.5,0.047619047619047616,1113,0.0,0.0,0.0,1007,0.0,0.0,0.0
Closure,2,58,1,1,0.017241379310344827,1.0,0.03389830508474576,4371,0.0,0.0,0.0,2796,0.0,0.0,0.0
Closure,34,13,2,not found,0.0,0.0,0.0,1162,0.0,0.0,0.0,1213,0.0,0.0,0.0
Closure,37,13,2,2,0.07692307692307693,0.5,0.13333333333333336,295,0.0,0.0,0.0,1000,0.0,0.0,0.0
Closure,55,32,1,not found,0.0,0.0,0.0,not found,0.0,0.0,0.0,not found,0.0,0.0,0.0
Codec,8,3,2,1,0.6666666666666666,0.4,0.5,1,0.3333333333333333,0.2,0.25,2,0.6666666666666666,0.4,0.5
Compress,1,3,1,not found,0.0,0.0,0.0,36,0.0,0.0,0.0,36,0.0,0.0,0.0
Compress,12,29,1,4,0.034482758620689655,1.0,0.06666666666666667,5,0.034482758620689655,1.0,0.06666666666666667,4,0.034482758620689655,1.0,0.06666666666666667
Compress,14,32,1,29,0.03125,1.0,0.06060606060606061,3,0.03125,1.0,0.06060606060606061,13,0.03125,1.0,0.06060606060606061
Compress,17,3,1,1,0.3333333333333333,1.0,0.5,1,0.3333333333333333,1.0,0.5,1,0.3333333333333333,1.0,0.5
Compress,18,19,1,2,0.05263157894736842,1.0,0.1,216,0.0,0.0,0.0,2,0.05263157894736842,1.0,0.1
Compress,23,7,1,not found,0.0,0.0,0.0,not found,0.0,0.0,0.0,not found,0.0,0.0,0.0
Compress,32,6,1,4,0.16666666666666666,1.0,0.2857142857142857,235,0.0,0.0,0.0,1,0.16666666666666666,1.0,0.2857142857142857
Csv,4,3,1,3,0.3333333333333333,1.0,0.5,1,0.3333333333333333,1.0,0.5,1,0.3333333333333333,1.0,0.5
Gson,12,1,1,1,1.0,1.0,1.0,1,1.0,1.0,1.0,1,1.0,1.0,1.0
Gson,8,2,1,not found,0.0,0.0,0.0,not found,0.0,0.0,0.0,not found,0.0,0.0,0.0
JacksonCore,4,7,1,1,0.14285714285714285,1.0,0.25,474,0.0,0.0,0.0,326,0.0,0.0,0.0
JacksonCore,7,18,5,not found,0.0,0.0,0.0,30,0.0,0.0,0.0,30,0.0,0.0,0.0
JacksonDatabind,104,1,1,not found,0.0,0.0,0.0,2,0.0,0.0,0.0,2,0.0,0.0,0.0
JacksonDatabind,14,40,1,8,0.025,1.0,0.04878048780487806,1623,0.0,0.0,0.0,457,0.0,0.0,0.0
JacksonDatabind,15,9,4,3,0.1111111111111111,0.125,0.11764705882352941,105,0.0,0.0,0.0,86,0.0,0.0,0.0
JacksonDatabind,17,11,1,not found,0.0,0.0,0.0,not found,0.0,0.0,0.0,not found,0.0,0.0,0.0
JacksonDatabind,25,17,6,not found,0.0,0.0,0.0,10,0.058823529411764705,0.125,0.07999999999999999,146,0.0,0.0,0.0
JacksonDatabind,28,11,2,8,0.09090909090909091,0.5,0.15384615384615385,1087,0.0,0.0,0.0,28,0.0,0.0,0.0
JacksonDatabind,32,9,1,not found,0.0,0.0,0.0,2614,0.0,0.0,0.0,1470,0.0,0.0,0.0
JacksonDatabind,58,6,2,1,0.3333333333333333,1.0,0.5,74,0.0,0.0,0.0,2,0.16666666666666666,0.5,0.25
JacksonDatabind,61,7,2,not found,0.0,0.0,0.0,2,0.2857142857142857,0.6666666666666666,0.4,2,0.2857142857142857,0.6666666666666666,0.4
JacksonDatabind,69,37,1,not found,0.0,0.0,0.0,747,0.0,0.0,0.0,505,0.0,0.0,0.0
JacksonDatabind,70,3,1,1,0.3333333333333333,0.5,0.4,607,0.0,0.0,0.0,607,0.0,0.0,0.0
JacksonDatabind,90,7,3,not found,0.0,0.0,0.0,595,0.0,0.0,0.0,595,0.0,0.0,0.0
JacksonDatabind,93,20,1,1,0.0,0.0,0.0,not found,0.0,0.0,0.0,not found,0.0,0.0,0.0
JacksonDatabind,98,22,2,7,0.0,0.0,0.0,not found,0.0,0.0,0.0,not found,0.0,0.0,0.0
Jsoup,54,5,1,not found,0.0,0.0,0.0,not found,0.0,0.0,0.0,not found,0.0,0.0,0.0
Jsoup,78,19,2,6,0.05263157894736842,0.5,0.09523809523809525,317,0.0,0.0,0.0,60,0.0,0.0,0.0
Jsoup,80,9,1,4,0.1111111111111111,1.0,0.19999999999999998,745,0.0,0.0,0.0,255,0.0,0.0,0.0
Jsoup,82,10,1,not found,0.0,0.0,0.0,312,0.0,0.0,0.0,274,0.0,0.0,0.0
Jsoup,84,36,1,not found,0.0,0.0,0.0,not found,0.0,0.0,0.0,not found,0.0,0.0,0.0
Jsoup,90,8,1,not found,0.0,0.0,0.0,not found,0.0,0.0,0.0,not found,0.0,0.0,0.0
JxPath,5,11,1,1,0.09090909090909091,1.0,0.16666666666666669,223,0.0,0.0,0.0,2,0.09090909090909091,1.0,0.16666666666666669
Mockito,4,7,1,3,0.14285714285714285,0.14285714285714285,0.14285714285714285,13,0.0,0.0,0.0,1,0.14285714285714285,0.14285714285714285,0.14285714285714285
Time,10,11,1,4,0.09090909090909091,1.0,0.16666666666666669,948,0.0,0.0,0.0,471,0.0,0.0,0.0
