Project,Map Stack Traces,MRR Stack Traces,Map Ochiai1,MRR Ochiai1,Map Ochiai2,MRR Ochiai2
Cli,0.6,0.6,0.07720588235294118,0.07720588235294118,0.20833333333333331,0.20833333333333331
Closure,0.19907407407407407,0.2646338867603235,0.0011172654625383317,0.0006896350731373945,0.0005265537695513559,0.0003682796046155521
Codec,1.0,1.0,0.28169477581242286,1.0,0.45212121212121203,0.5
Collections,0.0,0.25,0.0,0.00028694404591104734,0.0,0.0
Compress,0.30357142857142855,0.3624338624338624,0.21057967637665653,0.22439329459438337,0.3897308043983149,0.40792255099598024
Csv,0.16666666666666666,0.3333333333333333,0.5,0.5041322314049587,1.0,0.5
Gson,0.5,0.75,0.5,0.5007246376811594,0.5,0.5007246376811594
JacksonCore,0.5,0.5416666666666666,0.008564072717835564,0.017721518987341773,0.008565084827730458,0.01820040899795501
JacksonDatabind,0.21428571428571427,0.3232047364400306,0.002251463653169045,0.06653476863175004,0.0036811479883323453,0.09196697793736082
Jsoup,0.11726998491704373,0.20431255835667606,0.0012752820002838343,0.0007434367827710121,0.0035175400292896254,0.0015849412395643068
JxPath,1.0,0.3333333333333333,0.004484304932735426,0.004484304932735426,0.5,0.5
Mockito,0.05555555555555555,0.32936507936507936,0.016311596868523123,0.012820512820512822,0.14988736563851487,0.16666666666666666
Time,0.5,0.25,0.001049317943336831,0.0010548523206751054,0.0005656108597285068,0.0021231422505307855
